enzyme,sample_row,plate_well,treatment,rate_slope,intercept,r2,n_points,fit_start_time_min,fit_end_time_min
AChE,A,A:10,grapefruit,0.0025702044036435686,0.015771444121541144,0.7715753619737904,6,4.98,9.982
AChE,A,A:11,grapefruit,0.14502837074035216,1.191642691016453,0.9996586590708052,5,2.981,6.981
AChE,A,A:12,grapefruit,0.13898614717610572,1.2387238537397116,0.9990186278975794,5,3.982,7.982
AChE,A,A:2,grapefruit,0.16856974460547963,1.559456484855965,0.9987858800893871,5,0.0,3.982
AChE,A,A:3,grapefruit,0.16659135507216136,1.4753827967237887,0.997366864065528,5,0.0,3.982
AChE,A,A:4,grapefruit,0.009094781532874087,-1.1905909082827875,0.9882380931252048,5,5.98,9.982
AChE,A,A:5,grapefruit,0.09698039620387094,0.7278834968552377,0.999677056457989,5,7.982,11.983
AChE,A,A:6,grapefruit,0.13210993039339322,1.1755270463370036,0.9982808049633768,7,2.981,8.983
AChE,A,A:7,grapefruit,0.2117197032693636,1.3498210768916212,0.9989406933160706,5,0.0,3.982
AChE,A,A:8,grapefruit,0.18362165764350777,1.2795844582406946,0.9985060113831856,5,0.0,3.982
AChE,A,A:9,grapefruit,0.13598574845600916,1.4226692384846091,0.999126491181245,5,3.982,7.982
AChE,B,B:10,bergamot,0.18796555362957112,1.663749870851701,0.9925079489202359,5,0.98,4.98
AChE,B,B:11,bergamot,0.20762778225252254,1.8659419033416438,0.9830261027256012,5,0.0,3.982
AChE,B,B:12,bergamot,0.22969982616435147,1.8181377249942283,0.9824168362014777,5,0.0,3.982
AChE,B,B:2,bergamot,0.10297917537651337,2.355060269872766,0.9797705798816536,5,0.98,4.98
AChE,B,B:3,bergamot,0.12033997928279927,2.2871732771153566,0.9541382651452809,5,0.0,3.982
AChE,B,B:4,bergamot,0.007118818566989561,-1.2032774092294602,0.9945949528186261,15,1.98,15.985
AChE,B,B:5,bergamot,0.14897236338349046,1.985972973699169,0.9884972956263726,5,0.98,4.98
AChE,B,B:6,bergamot,0.14997236306361844,2.0649923746525802,0.9762544934096674,5,0.98,4.98
AChE,B,B:7,bergamot,0.18296775434857923,1.7446463113886255,0.99026022246358,5,0.98,4.98
AChE,B,B:8,bergamot,0.20965309887138156,1.7479224599798564,0.990380650517582,5,0.0,3.982
AChE,B,B:9,bergamot,0.1995996253567061,1.8058745835170815,0.9795563628442157,5,0.0,3.982
AChE,C,C:10,orange,0.08823863031236756,2.6428816142820755,0.9607090515704241,5,0.0,3.982
AChE,C,C:11,orange,-0.021985608475586057,3.313461140447009,0.8831153535850308,5,10.983,14.985
AChE,C,C:12,orange,-0.02598580663771201,3.3873997133840525,0.913611799045076,5,10.983,14.985
AChE,C,C:2,orange,0.03893937282177954,2.8332810878061703,0.8352618696134994,6,0.0,4.98
AChE,C,C:3,orange,0.044957244559450396,2.813333697388418,0.9369604589495952,6,0.0,4.98
AChE,C,C:4,orange,0.004385912370535022,-1.0868746434099743,0.9779334538888708,19,0.0,17.986
AChE,C,C:5,orange,0.07355652102653672,2.6089645278569202,0.894570491502291,6,0.0,4.98
AChE,C,C:6,orange,0.06757733034119472,2.722149174320862,0.9286672520275763,6,0.0,4.98
AChE,C,C:7,orange,0.05498658776918405,2.67410697649517,0.9608434599618634,5,0.98,4.98
AChE,C,C:8,orange,0.0752063945867811,2.6767453893030737,0.9342280442130613,5,0.0,3.982
AChE,C,C:9,orange,0.08720180354686567,2.65693930068089,0.8408856321088317,5,0.0,3.982
AChE,D,D:10,neroli,0.06898985896744723,2.6469740219680222,0.8677103474953167,6,0.0,4.98
AChE,D,D:11,neroli,0.03398939336604759,2.7586912141331594,0.9473289693653443,5,0.98,4.98
AChE,D,D:12,neroli,0.0883843854127972,2.5154679173655135,0.7889902547785161,6,0.0,4.98
AChE,D,D:2,neroli,0.028347370901054644,2.7912565219102636,0.8806751783888789,6,0.0,4.98
AChE,D,D:3,neroli,0.033712710841570084,2.6785539652106873,0.9237700265461254,6,2.981,7.982
AChE,D,D:4,neroli,0.003293182417809502,-1.163863007460798,0.9180931555623858,10,0.0,8.983
AChE,D,D:5,neroli,0.09726554865537158,2.44496679213855,0.9598126182371873,5,0.0,3.982
AChE,D,D:6,neroli,0.10227425977255526,2.4090265040553875,0.9435971117791075,5,0.0,3.982
AChE,D,D:7,neroli,0.08598457865347336,2.423714364865458,0.9268555728312187,5,0.98,4.98
AChE,D,D:8,neroli,0.12167670757529464,2.3127753378342306,0.9441992146197684,6,0.0,4.98
AChE,D,D:9,neroli,0.06999298041008209,2.5713789225897106,0.9534977590066862,5,0.98,4.98
AChE,E,E:10,mandarin,0.1260243744629602,0.9222977956748877,0.9997351730854512,5,2.981,6.981
AChE,E,E:11,mandarin,0.14600073409509826,1.217486044097897,0.9993315773257955,6,1.98,6.981
AChE,E,E:12,mandarin,0.12697396978041764,0.8255413856724876,0.9998043092340427,5,0.98,4.98
AChE,E,E:2,mandarin,0.11302137690477597,1.7290631259126907,0.9984927808468406,5,2.981,6.981
AChE,E,E:3,mandarin,0.14048922111027626,1.3411850917845454,0.9999822059742167,5,0.0,3.982
AChE,E,E:4,mandarin,-0.0038003988636449667,-1.1610721322833744,0.9836612764482572,5,1.98,5.98
AChE,E,E:5,mandarin,0.12257121474834014,1.1491325771176042,0.9993595707233712,6,1.98,6.981
AChE,E,E:6,mandarin,0.09696100404768082,1.253076869442921,0.999677017358826,5,6.981,10.983
AChE,E,E:7,mandarin,0.1370145590671545,0.8305998461772849,0.9998530154402361,5,1.98,5.98
AChE,E,E:8,mandarin,0.15696956194496234,1.2541365236668456,0.9992422182246669,5,0.98,4.98
AChE,E,E:9,mandarin,0.13097276898112153,0.9456225647748695,0.9993438883243209,5,0.98,4.98
AChE,F,F:10,lemon,0.08660788717652808,0.7201953560132235,0.9993911705644719,7,0.0,5.98
AChE,F,F:11,lemon,0.0837120568543398,0.5969735194518037,0.9996625214033387,6,0.98,5.98
AChE,F,F:12,lemon,0.09654053423377977,0.7318760697189967,0.999717535705656,6,0.0,4.98
AChE,F,F:2,lemon,0.0802795549201578,0.8606771953054548,0.9999822059742167,5,0.0,3.982
AChE,F,F:3,lemon,0.06307036143819175,0.699325458125039,0.9996289100277262,14,4.98,17.986
AChE,F,F:4,lemon,0.0035700044255687633,-1.157876395768817,0.7947846825870419,6,11.983,16.985
AChE,F,F:5,lemon,0.05646434418297365,0.5003989860150174,0.9996225262866314,14,0.98,13.985
AChE,F,F:6,lemon,0.07694265308442105,0.6533152250911478,0.9996195135313625,7,0.0,5.98
AChE,F,F:7,lemon,0.06998832805884214,0.311399799050343,0.9999998968597904,8,0.98,7.982
AChE,F,F:8,lemon,0.09425835701052826,0.8576562989850695,0.9997616370272076,7,3.982,9.982
AChE,F,F:9,lemon,0.08530115588057999,0.7287113260394011,0.9996639306466447,5,0.0,3.982
AChE,G,G:10,malaoxon,-0.027982144054956058,3.3626530923340523,0.8503970147081774,6,9.982,14.985
AChE,G,G:11,malaoxon,0.024629681344438274,2.875490643153972,0.870300616539269,6,0.0,4.98
AChE,G,G:12,malaoxon,-0.008993404557049858,3.1277715641689507,0.8099460144078894,5,9.982,13.985
AChE,G,G:2,malaoxon,0.027986202681150856,2.684627535952919,0.720310325073777,5,8.983,12.984
AChE,G,G:3,malaoxon,-0.022983211552556632,3.237417017318907,0.8423054254246916,5,9.982,13.985
AChE,G,G:4,malaoxon,-0.019699607476479673,3.217589999867213,0.5627457801412152,6,9.982,14.985
AChE,G,G:5,malaoxon,-0.02598380903563343,3.333373776518663,0.8124624904591485,5,10.983,14.985
AChE,G,G:6,malaoxon,0.030117722938297817,2.854228367056653,0.9461710442164091,5,0.0,3.982
AChE,G,G:7,malaoxon,0.03709092672655836,2.8383893468184715,0.9306184261330271,5,0.0,3.982
AChE,G,G:8,malaoxon,0.014302797824451659,2.8978075673370327,0.5622655658441635,6,0.0,4.98
AChE,G,G:9,malaoxon,0.011000396321344558,2.871212218724601,0.7038207060298517,5,0.98,4.98
AChE,H,H:10,methanol,0.03198580212156649,2.5966999352988345,0.8336364795608635,5,8.983,12.984
AChE,H,H:11,methanol,-0.031980610475185536,3.3672362464098096,0.8476714956994735,5,10.983,14.985
AChE,H,H:12,methanol,0.015753925851081242,2.818133852959966,0.8116692237778433,10,2.981,11.983
AChE,H,H:2,methanol,0.03298060612273766,2.662761994170757,0.5522445285466622,5,5.98,9.982
AChE,H,H:3,methanol,-0.015988807036033968,3.1415986705558643,0.72712733816145,5,10.983,14.985
AChE,H,H:4,methanol,-0.028838020118775474,3.2250042304894198,0.8209493840009779,6,9.982,14.985
AChE,H,H:5,methanol,-0.020855089823849073,2.9775861401319075,0.7214971525457452,6,0.98,5.98
AChE,H,H:6,methanol,-0.027408199159525425,3.3088214889077956,0.5947001333899861,6,9.982,14.985
AChE,H,H:7,methanol,-0.020985808635314046,3.2064797393209163,0.8288211000687712,5,10.983,14.985
AChE,H,H:8,methanol,0.02691703367150243,2.8664759078656004,0.7537091145554438,6,0.0,4.98
AChE,H,H:9,methanol,0.029807580626465244,2.8259629376539652,0.8688909752614483,6,0.0,4.98
BChE,A,A:10,grapefruit,0.011134583377123973,0.07889738433468077,0.9899000870113618,20,0.0,18.987
BChE,A,A:11,grapefruit,0.013794657637710558,0.07784729632279899,0.9903300156309192,17,0.981,16.986
BChE,A,A:12,grapefruit,0.029276026659469392,-0.24854256994255017,0.995067935766894,7,4.981,10.984
BChE,A,A:2,grapefruit,0.015521194461128532,-0.0033748552718265907,0.9953330160748834,19,0.981,18.987
BChE,A,A:3,grapefruit,0.013612036105883981,0.7884051307907975,0.9883113355425749,18,0.0,16.986
BChE,A,A:4,grapefruit,0.01351082981465114,0.08336058787188567,0.9962837452386814,20,0.0,18.987
BChE,A,A:5,grapefruit,0.011994268639958226,0.044082696440598736,0.9922449984980561,11,8.982,18.987
BChE,A,A:6,grapefruit,0.013311364724648358,0.06131826808262107,0.9960923638546029,19,0.981,18.987
BChE,A,A:7,grapefruit,0.010000000000000009,0.11017999999999992,1.0,5,5.982,9.982
BChE,A,A:8,grapefruit,0.013701444454535014,0.0769055018918018,0.9963412296081704,19,0.0,17.986
BChE,A,A:9,grapefruit,0.009996072780231489,0.14020742137783399,0.9999999808823713,7,11.984,17.986
BChE,B,B:10,bergamot,0.018029969174904556,0.1293713222331108,0.9967920945998845,15,1.982,15.986
BChE,B,B:11,bergamot,0.023422609695802565,0.07038275852882632,0.9986555688104871,17,2.981,18.987
BChE,B,B:12,bergamot,0.022980748904765518,0.053502129564679916,0.9988479144451409,14,2.981,15.986
BChE,B,B:2,bergamot,0.021109952004949018,-0.021303543099882322,0.9975313386170184,16,2.981,17.986
BChE,B,B:3,bergamot,0.01999599920079981,0.8503879303812956,0.9999999200319968,5,2.981,6.982
BChE,B,B:4,bergamot,0.020048215213624338,0.05375766309336936,0.995820612750175,13,2.981,14.985
BChE,B,B:5,bergamot,0.02000000000000002,0.04035999999999984,1.0,5,5.982,9.982
BChE,B,B:6,bergamot,0.022081446092081194,0.026260830356901386,0.99703318538203,14,1.982,14.985
BChE,B,B:7,bergamot,0.01696470971023937,0.08209684988289448,0.9965486062253939,10,3.982,12.984
BChE,B,B:8,bergamot,0.018272790261599448,0.08156448739130505,0.997045263813283,16,2.981,17.986
BChE,B,B:9,bergamot,0.014083938480538665,0.06552859060805559,0.9953179565231467,16,0.981,15.986
BChE,C,C:10,orange,0.01279622073201431,0.18884875152723338,0.9978168735118024,5,10.984,14.985
BChE,C,C:11,orange,0.012796220732014299,0.14884875152723354,0.9978168735118021,5,10.984,14.985
BChE,C,C:12,orange,0.013139439923276836,0.027176526655327375,0.9920430293056038,10,9.982,18.987
BChE,C,C:2,orange,0.02001660718473676,0.0355903150457392,0.9975489528875315,15,4.981,18.987
BChE,C,C:3,orange,0.03738077424234252,0.48790703417273,0.9950882252116106,7,4.981,10.984
BChE,C,C:4,orange,0.02005452760546625,-0.07274987887738277,0.9976970520479125,19,0.0,17.986
BChE,C,C:5,orange,0.014617462272185936,0.09649001564441477,0.9988951669452311,8,0.981,7.982
BChE,C,C:6,orange,0.018874252554075047,0.06594680729230515,0.9991404687299985,15,4.981,18.987
BChE,C,C:7,orange,0.01916831883450584,0.10280279525401176,0.997626346088214,15,0.0,13.985
BChE,C,C:8,orange,0.01717060078933622,0.06343645106943828,0.9967968523821293,18,1.982,18.987
BChE,C,C:9,orange,0.01462608898845433,0.16649132219495605,0.9982923061105725,6,2.981,7.982
BChE,D,D:10,neroli,0.019061442055580354,0.08217267345834825,0.9977249278249916,18,0.0,16.986
BChE,D,D:11,neroli,0.023766679659854354,0.05802436440283259,0.9990896763392826,17,1.982,17.986
BChE,D,D:12,neroli,0.024836754260580466,-0.05521535122680195,0.998812507565151,10,6.982,15.986
BChE,D,D:2,neroli,0.0230198675740176,-0.0674404798228876,0.9981223447981873,10,9.982,18.987
BChE,D,D:3,neroli,0.020071966581746967,0.8301531319419158,0.9999853751026311,5,0.0,3.982
BChE,D,D:4,neroli,0.024324032886145076,0.05994340630491901,0.9973194899875875,9,10.984,18.987
BChE,D,D:5,neroli,0.020000000000000018,0.10035999999999996,1.0,5,5.982,9.982
BChE,D,D:6,neroli,0.019999997600000305,0.09036800955583872,0.9999998800000144,5,1.982,5.982
BChE,D,D:7,neroli,0.019992145560462957,0.09041270035771981,0.9999999808823713,7,10.984,16.986
BChE,D,D:8,neroli,0.019997856377846207,0.060377106413292615,0.9999999502657624,7,0.981,6.982
BChE,D,D:9,neroli,0.020000000000000018,0.09035999999999988,1.0,5,5.982,9.982
BChE,E,E:10,mandarin,0.012996400600071909,0.08824473856749064,0.9826034458340396,5,13.985,17.986
BChE,E,E:11,mandarin,-1.3265072363957708e-17,0.1300000000000001,1.0,5,7.982,11.984
BChE,E,E:12,mandarin,0.03507944782447567,-0.4638845913457809,0.9958976748692058,5,8.982,12.984
BChE,E,E:2,mandarin,0.006272156231241067,-0.021831957861974338,0.9703857073622718,17,2.981,18.987
BChE,E,E:3,mandarin,0.009998000000159938,0.7201959635988829,0.9999999600159968,5,4.981,8.982
BChE,E,E:4,mandarin,0.007364830909517653,-0.021450876957173383,0.9846516159467161,16,3.982,18.987
BChE,E,E:5,mandarin,0.009997000599999943,0.05019194720864094,0.9999999700179928,5,13.985,17.986
BChE,E,E:6,mandarin,0.010052104391227919,0.11316383153271611,0.9903631602117834,20,0.0,18.987
BChE,E,E:7,mandarin,0.00914234605761613,0.09329216152035705,0.9926351208910585,20,0.0,18.987
BChE,E,E:8,mandarin,0.009997000599999946,-0.019808052791359207,0.9999999700179928,5,13.985,17.986
BChE,E,E:9,mandarin,0.011753316975404807,0.07827075135640536,0.9906565477418946,14,5.982,18.987
BChE,F,F:10,lemon,0.016061199273009596,0.06811530720322137,0.9850457061823533,5,0.0,3.982
BChE,F,F:11,lemon,1.1321933033048424e-17,0.17999999999999977,1.0,5,13.985,17.986
BChE,F,F:12,lemon,0.006496034708825995,0.016390307614552384,0.9840326395312156,20,0.0,18.987
BChE,F,F:2,lemon,0.009995429703758942,0.0202166719291551,0.9999999043052086,6,6.982,11.984
BChE,F,F:3,lemon,0.0064807524562009436,0.8798081091401835,0.986608835954312,14,5.982,18.987
BChE,F,F:4,lemon,0.016999797960024196,0.025316802361983824,0.9897026210986992,5,0.981,4.981
BChE,F,F:5,lemon,0.006370798784911747,0.08804930916160161,0.9868020652185988,13,6.982,18.987
BChE,F,F:6,lemon,2.4948758591906814e-18,0.13999999999999987,1.0,5,13.985,17.986
BChE,F,F:7,lemon,0.01500019819997617,0.039278409086591005,0.9698533320658762,5,0.981,4.981
BChE,F,F:8,lemon,0.009995429703758937,0.10021667192915523,0.9999999043052086,6,6.982,11.984
BChE,F,F:9,lemon,0.015000198199976177,0.08927840908659099,0.9698533320658764,5,0.981,4.981
BChE,G,G:10,malaoxon,0.020467704714474982,0.03320459540357939,0.9980272291217719,18,1.982,18.987
BChE,G,G:11,malaoxon,0.011789171643918918,-0.06781086170525585,0.9909241113420051,20,0.0,18.987
BChE,G,G:12,malaoxon,0.020752020771887363,-0.05851988650279887,0.9973986895380497,17,2.981,18.987
BChE,G,G:2,malaoxon,0.022197532438820503,-0.02851443850052971,0.9978241568867315,17,2.981,18.987
BChE,G,G:3,malaoxon,0.019695251371413137,0.8991645230981509,0.997242286076851,19,0.981,18.987
BChE,G,G:4,malaoxon,0.019994001199999833,0.0003838944172827289,0.9999999700179928,5,13.985,17.986
BChE,G,G:5,malaoxon,0.019990004398400374,-0.1395562135107496,0.9999999700299784,5,11.984,15.986
BChE,G,G:6,malaoxon,0.018703582044990667,0.026698775409118147,0.9967391008933981,18,1.982,18.987
BChE,G,G:7,malaoxon,0.009995002199200185,-0.1497781067553747,0.9999999700299784,5,11.984,15.986
BChE,G,G:8,malaoxon,0.021217513565273807,0.04401439115167696,0.9970678990273291,17,2.981,18.987
BChE,G,G:9,malaoxon,0.019991669860011857,0.040421495341518975,0.9999999861226782,8,11.984,18.987
BChE,H,H:10,methanol,0.029999996400000468,0.08055801073303855,0.9999998800000144,5,0.981,4.981
BChE,H,H:11,methanol,0.029991001799999778,0.09057584162592365,0.9999999700179928,5,13.985,17.986
BChE,H,H:12,methanol,0.029988003599519614,0.06062377085856016,0.9999999600319824,5,14.985,18.987
BChE,H,H:2,methanol,0.028863285502334027,0.012754827638763571,0.9985604894282032,20,0.0,18.987
BChE,H,H:3,methanol,0.029996785064058434,0.8905656581372892,0.9999999668438411,8,0.981,7.982
BChE,H,H:4,methanol,0.02999699820060001,0.0805639561636508,0.9999999300140028,5,3.982,7.982
BChE,H,H:5,methanol,0.031103770229277513,0.043505622391486184,0.9989999477672593,20,0.0,18.987
BChE,H,H:6,methanol,0.04198014252788964,0.06110479043565524,0.9993626680819584,11,8.982,18.987
BChE,H,H:7,methanol,0.029997855918651603,0.10055925262925444,0.9999999540881939,7,1.982,7.982
BChE,H,H:8,methanol,0.029991001799999827,0.1105758416259227,0.9999999700179928,5,13.985,17.986
BChE,H,H:9,methanol,0.028096361900532905,0.07302848446296573,0.9983055520295089,20,0.0,18.987
